
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00296-0010-E00001.csv"
"Job ID: 296"
"Electrode Number: 1"
"Manipulator Position (mm): 22.0"
"Date/Time: 05/09/2016 14:35:06"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 26.366573 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 100 nA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)

-9.987500e-02,-4.347296e-08
-1.016250e-01,-3.435315e-08
-1.033750e-01,-2.845045e-08
-1.051250e-01,-2.210015e-08
-1.068750e-01,-1.468681e-08
-1.086250e-01,-9.035885e-09
-1.103750e-01,-3.720658e-09
-1.121250e-01,8.112714e-10
-1.138750e-01,2.573688e-09
-1.156250e-01,6.350297e-09
-1.173750e-01,9.987030e-09
-1.191250e-01,1.339996e-08
-1.208750e-01,1.863127e-08
-1.226250e-01,2.293940e-08
-1.243750e-01,2.615651e-08
-1.261250e-01,2.993312e-08
-1.278750e-01,3.082831e-08
-1.296250e-01,3.278655e-08
-1.313750e-01,3.583581e-08
-1.331250e-01,3.723456e-08
-1.348750e-01,4.173851e-08
-1.366250e-01,4.573892e-08
-1.383750e-01,4.803286e-08
-1.401250e-01,5.164162e-08
-1.418750e-01,5.217314e-08
-1.436250e-01,5.320821e-08
-1.453750e-01,5.544620e-08
-1.471250e-01,5.625747e-08
-1.488750e-01,6.014598e-08
-1.506250e-01,6.364284e-08
-1.523750e-01,6.554513e-08
-1.541250e-01,6.915388e-08
-1.558750e-01,6.912592e-08
-1.576250e-01,6.979732e-08
-1.593750e-01,7.234302e-08
-1.611250e-01,7.293050e-08
-1.628750e-01,7.508456e-08
-1.646250e-01,7.883320e-08
-1.663750e-01,8.067953e-08
-1.681250e-01,8.311335e-08
-1.698750e-01,8.445615e-08
-1.716250e-01,8.400855e-08
-1.733750e-01,8.490374e-08
-1.751250e-01,8.624654e-08
-1.768750e-01,8.697388e-08
-1.786250e-01,9.033087e-08
-1.803750e-01,9.203734e-08
-1.821250e-01,9.385570e-08
-1.838750e-01,9.617762e-08
-1.856250e-01,9.542230e-08
-1.873750e-01,9.547824e-08
-1.891250e-01,9.676509e-08
-1.908750e-01,9.620560e-08
-1.926250e-01,9.933878e-08
-1.943750e-01,1.014369e-07
-1.961250e-01,1.024999e-07
-1.978750e-01,1.040945e-07
-1.996250e-01,1.043743e-07
-2.013750e-01,1.032273e-07
-2.031250e-01,1.039826e-07
-2.048750e-01,1.037029e-07
-2.066250e-01,1.048219e-07
-2.083750e-01,1.072277e-07
-2.101250e-01,1.080949e-07
-2.118750e-01,1.091020e-07
-2.136250e-01,1.098573e-07
-2.153750e-01,1.081509e-07
-2.171250e-01,1.075074e-07
-2.188750e-01,1.083747e-07
-2.206250e-01,1.078991e-07
-2.223750e-01,1.098573e-07
-2.241250e-01,1.112561e-07
-2.258750e-01,1.109483e-07
-2.276250e-01,1.123191e-07
-2.293750e-01,1.102210e-07
-2.311250e-01,1.096056e-07
-2.328750e-01,1.097175e-07
-2.346250e-01,1.080110e-07
-2.363750e-01,1.093538e-07
-2.381250e-01,1.107805e-07
-2.398750e-01,1.103329e-07
-2.416250e-01,1.113120e-07
-2.433750e-01,1.096335e-07
-2.451250e-01,1.077312e-07
-2.468750e-01,1.071717e-07
-2.486250e-01,1.061087e-07
-2.503750e-01,1.054653e-07
-2.521250e-01,1.065003e-07
-2.538750e-01,1.065003e-07
-2.556250e-01,1.058849e-07
-2.573750e-01,1.049338e-07
-2.591250e-01,1.022482e-07
-2.608750e-01,1.004018e-07
-2.626250e-01,9.950663e-08
-2.643750e-01,9.766028e-08
-2.661250e-01,9.838763e-08
-2.678750e-01,9.768826e-08
-2.696250e-01,9.614964e-08
-2.713750e-01,9.642939e-08
-2.731250e-01,9.321229e-08
-2.748750e-01,9.044277e-08
-2.766250e-01,8.937972e-08
-2.783750e-01,8.624654e-08
-2.801250e-01,8.644236e-08
-2.818750e-01,8.633046e-08
-2.836250e-01,8.484779e-08
-2.853750e-01,8.403652e-08
-2.871250e-01,8.216221e-08
-2.888750e-01,7.888914e-08
-2.906250e-01,7.740648e-08
-2.923750e-01,7.547622e-08
-2.941250e-01,7.424531e-08
-2.958750e-01,7.441317e-08
-2.976250e-01,7.351797e-08
-2.993750e-01,7.211923e-08
-3.011250e-01,7.122403e-08
-3.028750e-01,6.817477e-08
-3.046250e-01,6.663615e-08
-3.063750e-01,6.498563e-08
-3.081250e-01,6.294346e-08
-3.098750e-01,6.358689e-08
-3.116250e-01,6.341904e-08
-3.133750e-01,6.202030e-08
-3.151250e-01,6.224409e-08
-3.168750e-01,5.913888e-08
-3.186250e-01,5.737647e-08
-3.203750e-01,5.650924e-08
-3.221250e-01,5.460696e-08
-3.238750e-01,5.413138e-08
-3.256250e-01,5.513848e-08
-3.273750e-01,5.387961e-08
-3.291250e-01,5.404746e-08
-3.308750e-01,5.231301e-08
-3.326250e-01,4.979528e-08
-3.343750e-01,4.876021e-08
-3.361250e-01,4.766919e-08
-3.378750e-01,4.699779e-08
-3.396250e-01,4.797691e-08
-3.413750e-01,4.744539e-08
-3.431250e-01,4.696981e-08
-3.448750e-01,4.652222e-08
-3.466250e-01,4.417233e-08
-3.483750e-01,4.271763e-08
-3.501250e-01,4.266168e-08
-3.518750e-01,4.109509e-08
-3.536250e-01,4.240991e-08
-3.553750e-01,4.229801e-08
-3.571250e-01,4.165459e-08
-3.588750e-01,4.229801e-08
-3.606250e-01,3.978027e-08
-3.623750e-01,3.832558e-08
-3.641250e-01,3.832558e-08
-3.658750e-01,3.645126e-08
-3.676250e-01,3.757026e-08
-3.693750e-01,3.798988e-08
-3.711250e-01,3.754228e-08
-3.728750e-01,3.796190e-08
-3.746250e-01,3.659114e-08
-3.763750e-01,3.477277e-08
-3.781250e-01,3.454897e-08
-3.798750e-01,3.337403e-08
-3.816250e-01,3.331808e-08
-3.833750e-01,3.452100e-08
-3.851250e-01,3.454897e-08
-3.868750e-01,3.401745e-08
-3.886250e-01,3.398947e-08
-3.903750e-01,3.172351e-08
-3.921250e-01,3.113604e-08
-3.938750e-01,3.085629e-08
-3.956250e-01,2.996109e-08
-3.973750e-01,3.121996e-08
-3.991250e-01,3.161161e-08
-4.008750e-01,3.068844e-08
-4.026250e-01,3.205921e-08
-4.043750e-01,2.973729e-08
