
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00299-0010-E00001.csv"
"Job ID: 299"
"Electrode Number: 1"
"Manipulator Position (mm): 52.0"
"Date/Time: 05/09/2016 15:06:03"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 27.706163 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 1 uA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)
-3.781250e-01,1.202920e-08
-3.798750e-01,1.258869e-08
-3.816250e-01,1.678493e-08
-3.833750e-01,1.258869e-08
-3.851250e-01,1.258869e-08
-3.868750e-01,7.832964e-09
-3.886250e-01,1.007095e-08
-3.903750e-01,8.951960e-09
-3.921250e-01,9.511457e-09
-3.938750e-01,1.230894e-08
-3.956250e-01,1.174945e-08
-3.973750e-01,1.146970e-08
-3.991250e-01,1.342794e-08
-4.008750e-01,7.553216e-09
-4.026250e-01,9.231708e-09
-4.043750e-01,9.231708e-09
-4.061250e-01,7.273467e-09
-4.078750e-01,9.231708e-09
-4.096250e-01,1.230894e-08
-4.113750e-01,1.007095e-08
-4.131250e-01,1.342794e-08
-4.148750e-01,9.231708e-09
-4.166250e-01,6.993718e-09
-4.183750e-01,9.231708e-09
-4.201250e-01,6.434221e-09
-4.218750e-01,8.672211e-09
-4.236250e-01,9.791205e-09
-4.252500e-01,9.791205e-09
-4.270000e-01,1.174945e-08
-4.287500e-01,9.511457e-09
-4.305000e-01,6.993718e-09
-4.322500e-01,4.196231e-09
-4.340000e-01,6.993718e-09
-4.357500e-01,7.832964e-09
-4.375000e-01,1.063045e-08
-4.392500e-01,9.511457e-09
-4.410000e-01,8.951960e-09
-4.427500e-01,1.118995e-08
-4.445000e-01,7.273467e-09
-4.462500e-01,6.154472e-09
-4.480000e-01,8.392463e-09
-4.497500e-01,3.636734e-09
-4.515000e-01,9.231708e-09
-4.532500e-01,9.791205e-09
-4.550000e-01,9.231708e-09
-4.567500e-01,1.007095e-08
-4.585000e-01,7.553216e-09
-4.602500e-01,5.315226e-09
-4.620000e-01,8.392463e-09
-4.637500e-01,5.035477e-09
-4.655000e-01,8.112714e-09
-4.672500e-01,9.791205e-09
-4.690000e-01,1.007095e-08
-4.707500e-01,9.791205e-09
-4.725000e-01,8.392463e-09
-4.742500e-01,5.035477e-09
-4.760000e-01,5.035477e-09
-4.777500e-01,5.874724e-09
-4.795000e-01,5.874724e-09
-4.812500e-01,8.672211e-09
-4.830000e-01,8.672211e-09
-4.847500e-01,8.112714e-09
-4.865000e-01,1.063045e-08
-4.882500e-01,5.594975e-09
-4.900000e-01,5.315226e-09
-4.917500e-01,5.594975e-09
-4.935000e-01,3.356985e-09
-4.952500e-01,7.273467e-09
-4.970000e-01,9.231708e-09
-4.987500e-01,6.993718e-09
-5.005000e-01,1.035070e-08
-5.022500e-01,6.713970e-09
-5.040000e-01,5.315226e-09
-5.057500e-01,1.958241e-09
-5.075000e-01,5.874724e-09
-5.092500e-01,5.594975e-09
-5.110000e-01,8.672211e-09
-5.127500e-01,6.434221e-09
-5.145000e-01,8.392463e-09
-5.162500e-01,6.434221e-09
-5.180000e-01,4.755728e-09
-5.197500e-01,3.916482e-09
-5.215000e-01,6.993718e-09
-5.232500e-01,5.035477e-09
-5.250000e-01,8.392463e-09
-5.267500e-01,5.594975e-09
-5.285000e-01,8.392463e-09
-5.302500e-01,9.791205e-09
-5.320000e-01,5.874724e-09
-5.337500e-01,4.196231e-09
-5.355000e-01,6.434221e-09
-5.372500e-01,2.237990e-09
-5.390000e-01,7.273467e-09
-5.407500e-01,7.553216e-09
-5.425000e-01,7.553216e-09
-5.442500e-01,6.154472e-09
-5.460000e-01,7.273467e-09
-5.477500e-01,3.916482e-09
-5.495000e-01,6.434221e-09
-5.512500e-01,3.636734e-09
-5.530000e-01,6.434221e-09
-5.547500e-01,8.951960e-09
-5.565000e-01,7.273467e-09
-5.582500e-01,7.832964e-09
-5.600000e-01,5.035477e-09
-5.617500e-01,3.916482e-09
-5.635000e-01,5.874724e-09
-5.652500e-01,4.196231e-09
-5.670000e-01,5.035477e-09
-5.687500e-01,7.832964e-09
-5.705000e-01,7.273467e-09
-5.722500e-01,7.553216e-09
-5.740000e-01,9.511457e-09
-5.757500e-01,4.475980e-09
-5.775000e-01,4.755728e-09
-5.792500e-01,3.636734e-09
-5.810000e-01,2.797487e-09
-5.827500e-01,7.273467e-09
-5.845000e-01,8.392463e-09
-5.862500e-01,5.594975e-09
-5.880000e-01,9.791205e-09
-5.897500e-01,3.636734e-09
-5.915000e-01,5.315226e-09
-5.932500e-01,5.594975e-09
-5.950000e-01,3.916482e-09
-5.967500e-01,5.315226e-09
-5.985000e-01,8.951960e-09
-6.002500e-01,6.993718e-09
-6.020000e-01,8.672211e-09
-6.037500e-01,5.594975e-09
-6.055000e-01,4.755728e-09
-6.072500e-01,4.755728e-09
-6.090000e-01,4.755728e-09
-6.107500e-01,2.797487e-09
-6.125000e-01,8.672211e-09
-6.142500e-01,6.154472e-09
-6.160000e-01,7.273467e-09
-6.177500e-01,8.951960e-09
-6.195000e-01,5.315226e-09
-6.212500e-01,4.475980e-09
-6.230000e-01,6.434221e-09
-6.247500e-01,1.398744e-09
-6.265000e-01,7.273467e-09
-6.282500e-01,5.035477e-09
-6.300000e-01,5.874724e-09
-6.317500e-01,8.392463e-09
-6.335000e-01,6.154472e-09
-6.352500e-01,3.916482e-09
-6.370000e-01,6.154472e-09
-6.387500e-01,3.356985e-09
-6.405000e-01,5.874724e-09
-6.422500e-01,6.993718e-09
-6.440000e-01,7.832964e-09
-6.457500e-01,6.713970e-09
-6.475000e-01,6.434221e-09
-6.492500e-01,3.636734e-09
-6.510000e-01,4.196231e-09
-6.527500e-01,4.755728e-09
-6.545000e-01,5.594975e-09
-6.562500e-01,7.273467e-09
-6.580000e-01,7.832964e-09
-6.597500e-01,6.434221e-09
-6.615000e-01,9.791205e-09
-6.632500e-01,1.398744e-09
-6.650000e-01,4.755728e-09
-6.667500e-01,4.755728e-09
-6.685000e-01,2.797487e-09
-6.702500e-01,7.553216e-09
-6.720000e-01,8.392463e-09
-6.737500e-01,7.273467e-09
-6.755000e-01,1.118995e-08
-6.772500e-01,6.154472e-09
-6.790000e-01,3.636734e-09
-6.807500e-01,6.154472e-09
-6.825000e-01,3.636734e-09
-6.842500e-01,4.475980e-09
-6.860000e-01,8.672211e-09
-6.877500e-01,7.553216e-09
-6.895000e-01,9.511457e-09
-6.912500e-01,5.594975e-09
-6.930000e-01,5.035477e-09
-6.947500e-01,3.356985e-09
-6.965000e-01,5.315226e-09
-6.982500e-01,3.636734e-09
-7.000000e-01,8.392463e-09
-7.017500e-01,6.993718e-09
-7.035000e-01,8.672211e-09
-7.052500e-01,9.231708e-09
-7.070000e-01,6.434221e-09
-7.087500e-01,4.196231e-09
-7.105000e-01,6.713970e-09
-7.122500e-01,2.797487e-09
-7.140000e-01,6.713970e-09
-7.157500e-01,9.511457e-09
-7.175000e-01,8.672211e-09
-7.192500e-01,1.146970e-08
-7.210000e-01,7.553216e-09
-7.227500e-01,5.594975e-09
-7.245000e-01,8.672211e-09
-7.262500e-01,3.916482e-09
-7.280000e-01,8.112714e-09
-7.297500e-01,1.035070e-08
-7.315000e-01,1.035070e-08
-7.332500e-01,7.553216e-09
-7.350000e-01,1.007095e-08
-7.367500e-01,6.993718e-09
-7.385000e-01,7.832964e-09
-7.402500e-01,8.112714e-09
-7.420000e-01,9.231708e-09
-7.437500e-01,1.174945e-08
-7.455000e-01,1.482668e-08
-7.472500e-01,1.230894e-08
-7.490000e-01,1.454693e-08
-7.507500e-01,8.392463e-09
-7.525000e-01,1.146970e-08
-7.542500e-01,1.118995e-08
-7.560000e-01,9.791205e-09
-7.577500e-01,1.426719e-08
-7.595000e-01,1.650518e-08
-7.612500e-01,1.510643e-08
-7.630000e-01,1.874317e-08
-7.647500e-01,1.370769e-08
-7.665000e-01,1.510643e-08
-7.682500e-01,1.510643e-08
-7.700000e-01,1.314819e-08
-7.717500e-01,1.314819e-08
-7.735000e-01,1.902291e-08
-7.752500e-01,1.818367e-08
-7.770000e-01,2.014191e-08
-7.787500e-01,1.762417e-08
-7.805000e-01,1.706467e-08
-7.822500e-01,1.846342e-08
-7.840000e-01,1.678493e-08
-7.857500e-01,1.874317e-08
-7.875000e-01,2.237990e-08
-7.892500e-01,1.902291e-08
-7.910000e-01,2.377864e-08
-7.927500e-01,2.377864e-08
-7.945000e-01,2.126090e-08
-7.962500e-01,2.210015e-08
-7.980000e-01,2.377864e-08
-7.997500e-01,2.042166e-08
-8.015000e-01,2.629638e-08
-8.032500e-01,2.713563e-08
-8.050000e-01,2.853437e-08
-8.067500e-01,2.769512e-08
-8.085000e-01,2.797487e-08
-8.102500e-01,2.489764e-08
-8.120000e-01,2.881412e-08
-8.137500e-01,2.629638e-08
-8.155000e-01,2.909387e-08
-8.172500e-01,3.161161e-08
-8.190000e-01,3.189136e-08
-8.207500e-01,3.329010e-08
-8.225000e-01,3.273060e-08
-8.242500e-01,2.965337e-08
-8.260000e-01,3.077236e-08
-8.277500e-01,2.993312e-08
-8.295000e-01,2.937362e-08
-8.312500e-01,3.329010e-08
-8.330000e-01,3.580784e-08
-8.347500e-01,3.608759e-08
-8.365000e-01,3.636734e-08
-8.382500e-01,3.077236e-08
-8.400000e-01,3.273060e-08
-8.417500e-01,3.133186e-08
-8.435000e-01,3.021286e-08
-8.452500e-01,3.189136e-08
-8.470000e-01,3.440909e-08
-8.487500e-01,3.161161e-08
-8.505000e-01,3.412935e-08
-8.522500e-01,2.545714e-08
-8.540000e-01,2.685588e-08
-8.557500e-01,2.657613e-08
-8.575000e-01,2.349890e-08
-8.592500e-01,2.517739e-08
-8.610000e-01,2.657613e-08
-8.627500e-01,2.293940e-08
-8.645000e-01,2.489764e-08
-8.662500e-01,2.098115e-08
-8.680000e-01,1.902291e-08
-8.697500e-01,1.930266e-08
-8.715000e-01,1.734442e-08
-8.732500e-01,1.706467e-08
-8.750000e-01,1.958241e-08
-8.767500e-01,2.070141e-08
-8.785000e-01,1.902291e-08
-8.802500e-01,1.678493e-08
-8.820000e-01,1.370769e-08
-8.837500e-01,1.398744e-08
-8.855000e-01,1.454693e-08
-8.872500e-01,1.342794e-08
-8.890000e-01,1.706467e-08
-8.907500e-01,1.482668e-08
-8.925000e-01,1.650518e-08
-8.942500e-01,1.650518e-08
-8.960000e-01,1.258869e-08
-8.977500e-01,1.202920e-08
-8.995000e-01,1.398744e-08
-9.012500e-01,6.713970e-09
-9.030000e-01,1.482668e-08
-9.047500e-01,1.510643e-08
-9.065000e-01,1.510643e-08
-9.082500e-01,1.678493e-08
-9.100000e-01,1.286844e-08
-9.117500e-01,9.791205e-09
-9.135000e-01,1.314819e-08
-9.152500e-01,8.672211e-09
-9.170000e-01,1.314819e-08
-9.187500e-01,1.426719e-08
-9.205000e-01,1.314819e-08
-9.222500e-01,1.454693e-08
-9.240000e-01,1.314819e-08
-9.257500e-01,1.035070e-08
-9.275000e-01,1.146970e-08
-9.292500e-01,9.231708e-09
-9.310000e-01,1.174945e-08
-9.327500e-01,1.426719e-08
-9.345000e-01,1.594568e-08
-9.362500e-01,1.342794e-08
-9.380000e-01,1.510643e-08
-9.397500e-01,1.035070e-08
-9.415000e-01,1.174945e-08
-9.432500e-01,1.202920e-08
-9.450000e-01,9.511457e-09
-9.467500e-01,1.314819e-08
-9.485000e-01,1.482668e-08
-9.502500e-01,1.314819e-08
-9.520000e-01,1.706467e-08
-9.537500e-01,1.174945e-08
-9.555000e-01,1.063045e-08
-9.572500e-01,1.118995e-08
-9.590000e-01,1.035070e-08
-9.607500e-01,1.258869e-08
-9.625000e-01,1.454693e-08
-9.642500e-01,1.174945e-08
-9.660000e-01,1.538618e-08
-9.677500e-01,1.230894e-08
-9.695000e-01,1.174945e-08
-9.712500e-01,8.951960e-09
-9.730000e-01,1.035070e-08
-9.747500e-01,1.118995e-08
-9.765000e-01,1.454693e-08
-9.782500e-01,1.398744e-08
-9.800000e-01,1.426719e-08
-9.817500e-01,1.454693e-08
-9.835000e-01,1.118995e-08
-9.852500e-01,1.146970e-08
-9.870000e-01,1.230894e-08
-9.887500e-01,5.874724e-09
-9.905000e-01,1.398744e-08
-9.922500e-01,1.426719e-08
-9.940000e-01,1.426719e-08
-9.957500e-01,1.566593e-08
-9.975000e-01,1.202920e-08
-9.992500e-01,9.791205e-09
-1.001000e+00,1.230894e-08
-1.002750e+00,9.511457e-09
-1.004500e+00,1.063045e-08
-1.006250e+00,1.398744e-08
-1.008000e+00,1.454693e-08
-1.009750e+00,1.454693e-08
-1.011500e+00,1.342794e-08
-1.013250e+00,1.063045e-08
-1.015000e+00,1.202920e-08
-1.016750e+00,1.035070e-08
-1.018500e+00,1.314819e-08
-1.020250e+00,1.398744e-08
-1.022000e+00,1.398744e-08
-1.023750e+00,1.146970e-08
-1.025500e+00,1.538618e-08
-1.027250e+00,1.146970e-08
-1.029000e+00,1.174945e-08
-1.030750e+00,1.091020e-08
-1.032500e+00,9.791205e-09
-1.034250e+00,1.398744e-08
-1.036000e+00,1.510643e-08
-1.037750e+00,1.342794e-08
-1.039500e+00,1.650518e-08
-1.041250e+00,1.118995e-08
-1.043000e+00,1.146970e-08
-1.044750e+00,8.672211e-09
-1.046500e+00,1.007095e-08
-1.048250e+00,1.091020e-08
-1.050000e+00,1.482668e-08
-1.051750e+00,1.174945e-08
-1.053500e+00,1.622543e-08
-1.055250e+00,1.230894e-08
-1.057000e+00,1.091020e-08
-1.058750e+00,1.035070e-08
-1.060500e+00,1.007095e-08
-1.062250e+00,1.146970e-08
-1.064000e+00,1.314819e-08
-1.065750e+00,1.314819e-08
-1.067500e+00,1.314819e-08
-1.069250e+00,1.258869e-08
-1.071000e+00,1.091020e-08
-1.072750e+00,1.118995e-08
-1.074500e+00,1.146970e-08
-1.076250e+00,8.951960e-09
-1.078000e+00,1.454693e-08
-1.079750e+00,1.342794e-08
-1.081500e+00,1.174945e-08
-1.083250e+00,1.566593e-08
-1.085000e+00,1.230894e-08
-1.086750e+00,9.511457e-09
-1.088500e+00,1.202920e-08
-1.090250e+00,8.112714e-09
-1.092000e+00,1.398744e-08
-1.093750e+00,1.454693e-08
-1.095500e+00,1.398744e-08
-1.097250e+00,1.454693e-08
-1.099000e+00,1.202920e-08
-1.100750e+00,1.035070e-08
-1.102500e+00,1.174945e-08
-1.104250e+00,1.063045e-08
-1.106000e+00,1.230894e-08
-1.107750e+00,1.370769e-08
-1.109500e+00,1.846342e-08
-1.111250e+00,1.426719e-08
-1.113000e+00,1.538618e-08
-1.114750e+00,8.951960e-09
-1.116500e+00,1.202920e-08
-1.118250e+00,1.174945e-08
-1.120000e+00,1.035070e-08
-1.121750e+00,1.398744e-08
-1.123500e+00,1.510643e-08
-1.125250e+00,1.370769e-08
-1.127000e+00,1.650518e-08
-1.128750e+00,1.118995e-08
-1.130500e+00,1.174945e-08
-1.132250e+00,1.370769e-08
-1.134000e+00,1.118995e-08
-1.135750e+00,1.286844e-08
-1.137500e+00,1.566593e-08
-1.139250e+00,1.314819e-08
-1.141000e+00,1.510643e-08
-1.142750e+00,1.342794e-08
-1.144500e+00,1.174945e-08
-1.146250e+00,1.146970e-08
-1.148000e+00,1.146970e-08
-1.149750e+00,1.202920e-08
-1.151500e+00,1.650518e-08
-1.153250e+00,1.314819e-08
-1.155000e+00,1.622543e-08
-1.156750e+00,1.286844e-08
-1.158500e+00,1.230894e-08
-1.160250e+00,1.258869e-08
-1.162000e+00,1.118995e-08
-1.163750e+00,1.007095e-08
-1.165500e+00,1.566593e-08
-1.167250e+00,1.398744e-08
-1.169000e+00,1.510643e-08
-1.170750e+00,1.650518e-08
-1.172500e+00,1.342794e-08
-1.174250e+00,1.146970e-08
-1.176000e+00,1.314819e-08
-1.177750e+00,8.672211e-09
-1.179500e+00,1.454693e-08
-1.181250e+00,1.286844e-08
-1.183000e+00,1.454693e-08
-1.184750e+00,1.650518e-08
-1.186500e+00,1.454693e-08
-1.188250e+00,1.118995e-08
-1.190000e+00,1.370769e-08
-1.191750e+00,1.118995e-08
-1.193500e+00,1.454693e-08
-1.195250e+00,1.566593e-08
-1.197000e+00,1.594568e-08
-1.198750e+00,1.566593e-08
-1.200500e+00,1.454693e-08
-1.202250e+00,1.146970e-08
-1.204000e+00,1.202920e-08
-1.205750e+00,9.511457e-09
-1.207500e+00,1.398744e-08
-1.209250e+00,1.538618e-08
-1.211000e+00,1.510643e-08
-1.212750e+00,1.538618e-08
-1.214500e+00,1.734442e-08
-1.216250e+00,1.202920e-08
-1.218000e+00,1.286844e-08
-1.219750e+00,1.230894e-08
-1.221500e+00,1.091020e-08
-1.223250e+00,1.482668e-08
-1.225000e+00,1.706467e-08
-1.226750e+00,1.258869e-08
-1.228500e+00,1.902291e-08
-1.230250e+00,1.398744e-08
-1.232000e+00,1.370769e-08
-1.233750e+00,1.398744e-08
-1.235500e+00,1.202920e-08
-1.237250e+00,1.314819e-08
-1.239000e+00,1.678493e-08
-1.240750e+00,1.678493e-08
-1.242500e+00,1.510643e-08
-1.244250e+00,1.426719e-08
-1.246000e+00,1.202920e-08
-1.247750e+00,1.286844e-08
-1.249500e+00,1.258869e-08
-1.251250e+00,1.286844e-08
-1.253000e+00,1.650518e-08
-1.254750e+00,1.734442e-08
-1.256500e+00,1.538618e-08
-1.258250e+00,1.622543e-08
-1.260000e+00,1.118995e-08
-1.261750e+00,1.258869e-08
-1.263500e+00,1.342794e-08
-1.265250e+00,1.035070e-08
-1.267000e+00,1.510643e-08
-1.268750e+00,1.538618e-08
-1.270500e+00,1.622543e-08
-1.272250e+00,1.846342e-08
-1.274000e+00,1.510643e-08
-1.275750e+00,8.672211e-09
-1.277500e+00,1.426719e-08
-1.279250e+00,1.146970e-08
-1.281000e+00,1.370769e-08
-1.282750e+00,1.538618e-08
-1.284500e+00,1.454693e-08
-1.286250e+00,1.566593e-08
-1.288000e+00,1.398744e-08
-1.289750e+00,1.063045e-08
-1.291500e+00,1.286844e-08
-1.293250e+00,1.174945e-08
-1.295000e+00,1.426719e-08
-1.296750e+00,1.566593e-08
-1.298500e+00,1.230894e-08
-1.300250e+00,1.426719e-08
-1.302000e+00,1.482668e-08
-1.303750e+00,1.202920e-08
-1.305500e+00,1.286844e-08
-1.307250e+00,1.314819e-08
-1.309000e+00,1.118995e-08
-1.310750e+00,1.538618e-08
-1.312500e+00,1.538618e-08
-1.314250e+00,1.370769e-08
-1.316000e+00,1.818367e-08
-1.317750e+00,9.511457e-09
-1.319500e+00,1.286844e-08
-1.321250e+00,1.398744e-08
-1.323000e+00,1.063045e-08
-1.324750e+00,1.314819e-08
-1.326500e+00,1.594568e-08
-1.328250e+00,1.286844e-08
-1.330000e+00,1.650518e-08
-1.331750e+00,1.286844e-08
-1.333500e+00,1.118995e-08
-1.335250e+00,1.007095e-08
-1.337000e+00,1.258869e-08
-1.338750e+00,1.314819e-08
-1.340500e+00,1.566593e-08
-1.342250e+00,1.734442e-08
-1.344000e+00,1.622543e-08
-1.345750e+00,1.482668e-08
-1.347500e+00,1.286844e-08
-1.349250e+00,1.258869e-08
-1.351000e+00,1.174945e-08
-1.352750e+00,1.007095e-08
-1.354500e+00,1.538618e-08
-1.356250e+00,1.566593e-08
-1.358000e+00,1.538618e-08
-1.359750e+00,1.846342e-08
-1.361500e+00,1.398744e-08
-1.363250e+00,1.202920e-08
-1.365000e+00,1.314819e-08
-1.366750e+00,1.007095e-08
-1.368500e+00,1.426719e-08
-1.370250e+00,1.370769e-08
-1.372000e+00,1.482668e-08
-1.373750e+00,1.622543e-08
-1.375500e+00,1.510643e-08
-1.377250e+00,1.118995e-08
-1.379000e+00,1.342794e-08
-1.380750e+00,1.202920e-08
-1.382500e+00,1.426719e-08
-1.384250e+00,1.538618e-08
-1.386000e+00,1.846342e-08
-1.387750e+00,1.594568e-08
-1.389500e+00,1.566593e-08
-1.391250e+00,1.286844e-08
-1.393000e+00,1.426719e-08
-1.394750e+00,1.314819e-08
-1.396500e+00,1.342794e-08
-1.398250e+00,1.650518e-08
-1.400000e+00,1.706467e-08
-1.401750e+00,1.538618e-08
-1.403500e+00,1.958241e-08
-1.405250e+00,1.398744e-08
-1.407000e+00,1.286844e-08
-1.408750e+00,1.482668e-08
-1.410500e+00,1.370769e-08
-1.412250e+00,1.538618e-08
-1.414000e+00,1.790392e-08
-1.415750e+00,1.734442e-08
-1.417500e+00,1.986216e-08
-1.419250e+00,1.622543e-08
-1.421000e+00,1.510643e-08
-1.422750e+00,1.622543e-08
-1.424500e+00,1.482668e-08
-1.426250e+00,1.426719e-08
-1.428000e+00,2.014191e-08
-1.429750e+00,2.098115e-08
-1.431500e+00,2.098115e-08
-1.433250e+00,1.902291e-08
-1.435000e+00,1.734442e-08
-1.436750e+00,1.846342e-08
-1.438500e+00,1.846342e-08
