
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00293-0010-E00001.csv"
"Job ID: 293"
"Electrode Number: 1"
"Manipulator Position (mm): 0.0"
"Date/Time: 05/09/2016 14:09:50"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 24.290483 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 100 nA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)

-9.987500e-02,-4.436815e-08
-1.016250e-01,-3.594771e-08
-1.033750e-01,-2.987716e-08
-1.051250e-01,-2.394649e-08
-1.068750e-01,-1.882709e-08
-1.086250e-01,-1.387554e-08
-1.103750e-01,-9.371583e-09
-1.121250e-01,-4.867628e-09
-1.138750e-01,-9.231708e-10
-1.156250e-01,2.993312e-09
-1.173750e-01,6.630045e-09
-1.191250e-01,1.009893e-08
-1.208750e-01,1.339996e-08
-1.226250e-01,1.658910e-08
-1.243750e-01,1.955444e-08
-1.261250e-01,2.288345e-08
-1.278750e-01,2.565296e-08
-1.296250e-01,2.861830e-08
-1.313750e-01,3.096819e-08
-1.331250e-01,3.382162e-08
-1.348750e-01,3.617151e-08
-1.366250e-01,3.871722e-08
-1.383750e-01,4.103914e-08
-1.401250e-01,4.338903e-08
-1.418750e-01,4.523537e-08
-1.436250e-01,4.792096e-08
-1.453750e-01,4.996313e-08
-1.471250e-01,5.222909e-08
-1.488750e-01,5.418734e-08
-1.506250e-01,5.620153e-08
-1.523750e-01,5.821571e-08
-1.541250e-01,6.028586e-08
-1.558750e-01,6.218814e-08
-1.576250e-01,6.434222e-08
-1.593750e-01,6.641235e-08
-1.611250e-01,6.851047e-08
-1.628750e-01,7.013301e-08
-1.646250e-01,7.195138e-08
-1.663750e-01,7.354595e-08
-1.681250e-01,7.539229e-08
-1.698750e-01,7.695888e-08
-1.716250e-01,7.891713e-08
-1.733750e-01,8.051169e-08
-1.751250e-01,8.235803e-08
-1.768750e-01,8.403652e-08
-1.786250e-01,8.574299e-08
-1.803750e-01,8.714174e-08
-1.821250e-01,8.901605e-08
-1.838750e-01,9.072252e-08
-1.856250e-01,9.245696e-08
-1.873750e-01,9.402355e-08
-1.891250e-01,9.584192e-08
-1.908750e-01,9.726864e-08
-1.926250e-01,9.908700e-08
-1.943750e-01,1.004298e-07
-1.961250e-01,1.021642e-07
-1.978750e-01,1.038148e-07
-1.996250e-01,1.056331e-07
-2.013750e-01,1.072836e-07
-2.031250e-01,1.090461e-07
-2.048750e-01,1.104168e-07
-2.066250e-01,1.122911e-07
-2.083750e-01,1.136619e-07
-2.101250e-01,1.152845e-07
-2.118750e-01,1.169909e-07
-2.136250e-01,1.188932e-07
-2.153750e-01,1.201521e-07
-2.171250e-01,1.222782e-07
-2.188750e-01,1.237888e-07
-2.206250e-01,1.254953e-07
-2.223750e-01,1.268381e-07
-2.241250e-01,1.286565e-07
-2.258750e-01,1.301391e-07
-2.276250e-01,1.320414e-07
-2.293750e-01,1.335520e-07
-2.311250e-01,1.354823e-07
-2.328750e-01,1.368251e-07
-2.346250e-01,1.386435e-07
-2.363750e-01,1.399583e-07
-2.381250e-01,1.417207e-07
-2.398750e-01,1.431474e-07
-2.416250e-01,1.447420e-07
-2.433750e-01,1.462526e-07
-2.451250e-01,1.480710e-07
-2.468750e-01,1.493858e-07
-2.486250e-01,1.512042e-07
-2.503750e-01,1.525190e-07
-2.521250e-01,1.537219e-07
-2.538750e-01,1.552885e-07
-2.556250e-01,1.570230e-07
-2.573750e-01,1.583937e-07
-2.591250e-01,1.597365e-07
-2.608750e-01,1.609954e-07
-2.626250e-01,1.623662e-07
-2.643750e-01,1.635971e-07
-2.661250e-01,1.648559e-07
-2.678750e-01,1.660589e-07
-2.696250e-01,1.675135e-07
-2.713750e-01,1.684927e-07
-2.731250e-01,1.699194e-07
-2.748750e-01,1.712062e-07
-2.766250e-01,1.724371e-07
-2.783750e-01,1.732204e-07
-2.801250e-01,1.743954e-07
-2.818750e-01,1.753185e-07
-2.836250e-01,1.763816e-07
-2.853750e-01,1.774446e-07
-2.871250e-01,1.787035e-07
-2.888750e-01,1.793469e-07
-2.906250e-01,1.806338e-07
-2.923750e-01,1.815290e-07
-2.941250e-01,1.824242e-07
-2.958750e-01,1.830676e-07
-2.976250e-01,1.839068e-07
-2.993750e-01,1.848020e-07
-3.011250e-01,1.857532e-07
-3.028750e-01,1.863406e-07
-3.046250e-01,1.874596e-07
-3.063750e-01,1.881870e-07
-3.081250e-01,1.887185e-07
-3.098750e-01,1.894458e-07
-3.116250e-01,1.902571e-07
-3.133750e-01,1.907886e-07
-3.151250e-01,1.915440e-07
-3.168750e-01,1.921314e-07
-3.186250e-01,1.928308e-07
-3.203750e-01,1.933344e-07
-3.221250e-01,1.940897e-07
-3.238750e-01,1.944533e-07
-3.256250e-01,1.948170e-07
-3.273750e-01,1.953206e-07
-3.291250e-01,1.957961e-07
-3.308750e-01,1.962997e-07
-3.326250e-01,1.968032e-07
-3.343750e-01,1.966354e-07
-3.361250e-01,1.972788e-07
-3.378750e-01,1.975586e-07
-3.396250e-01,1.979222e-07
-3.413750e-01,1.980341e-07
-3.431250e-01,1.985377e-07
-3.448750e-01,1.988174e-07
-3.466250e-01,1.991811e-07
-3.483750e-01,1.992091e-07
-3.501250e-01,1.996847e-07
-3.518750e-01,1.996007e-07
-3.536250e-01,1.995728e-07
-3.553750e-01,1.996847e-07
-3.571250e-01,1.998525e-07
-3.588750e-01,1.998525e-07
-3.606250e-01,1.997406e-07
-3.623750e-01,2.000763e-07
-3.641250e-01,2.002162e-07
-3.658750e-01,1.998245e-07
-3.676250e-01,1.999364e-07
-3.693750e-01,1.995168e-07
-3.711250e-01,1.993769e-07
-3.728750e-01,1.990692e-07
-3.746250e-01,1.992370e-07
-3.763750e-01,1.990692e-07
-3.781250e-01,1.990133e-07
-3.798750e-01,1.985657e-07
-3.816250e-01,1.982300e-07
-3.833750e-01,1.978663e-07
-3.851250e-01,1.975026e-07
-3.868750e-01,1.970830e-07
-3.886250e-01,1.968872e-07
-3.903750e-01,1.963277e-07
-3.921250e-01,1.961598e-07
-3.938750e-01,1.955444e-07
-3.956250e-01,1.951247e-07
-3.973750e-01,1.944813e-07
-3.991250e-01,1.940058e-07
-4.008750e-01,1.933344e-07
-4.026250e-01,1.929707e-07
-4.043750e-01,1.924671e-07
-4.061250e-01,1.921594e-07
-4.078750e-01,1.912922e-07
-4.096250e-01,1.907886e-07
-4.113750e-01,1.899214e-07
-4.131250e-01,1.892220e-07
-4.148750e-01,1.883548e-07
-4.166250e-01,1.877394e-07
-4.183750e-01,1.868722e-07
-4.201250e-01,1.863406e-07
-4.218750e-01,1.855573e-07
-4.236250e-01,1.850258e-07
-4.252500e-01,1.834592e-07
-4.270000e-01,1.828997e-07
-4.287500e-01,1.818647e-07
-4.305000e-01,1.808296e-07
-4.322500e-01,1.797665e-07
-4.340000e-01,1.787874e-07
-4.357500e-01,1.775565e-07
-4.375000e-01,1.764935e-07
-4.392500e-01,1.753185e-07
-4.410000e-01,1.740317e-07
-4.427500e-01,1.722413e-07
-4.445000e-01,1.712062e-07
-4.462500e-01,1.696396e-07
-4.480000e-01,1.682409e-07
-4.497500e-01,1.667023e-07
-4.515000e-01,1.650797e-07
-4.532500e-01,1.633173e-07
-4.550000e-01,1.616388e-07
-4.567500e-01,1.596246e-07
-4.585000e-01,1.578063e-07
-4.602500e-01,1.559040e-07
-4.620000e-01,1.543374e-07
-4.637500e-01,1.522113e-07
-4.655000e-01,1.504489e-07
-4.672500e-01,1.485186e-07
-4.690000e-01,1.466443e-07
-4.707500e-01,1.445182e-07
-4.725000e-01,1.426719e-07
-4.742500e-01,1.406017e-07
-4.760000e-01,1.387833e-07
-4.777500e-01,1.369090e-07
-4.795000e-01,1.352585e-07
-4.812500e-01,1.329086e-07
-4.830000e-01,1.314819e-07
-4.847500e-01,1.295237e-07
-4.865000e-01,1.278172e-07
-4.882500e-01,1.258030e-07
-4.900000e-01,1.241525e-07
-4.917500e-01,1.225579e-07
-4.935000e-01,1.211592e-07
-4.952500e-01,1.195926e-07
-4.970000e-01,1.178022e-07
-4.987500e-01,1.164594e-07
-5.005000e-01,1.149767e-07
-5.022500e-01,1.134101e-07
-5.040000e-01,1.122072e-07
-5.057500e-01,1.106686e-07
-5.075000e-01,1.095776e-07
-5.092500e-01,1.082348e-07
-5.110000e-01,1.071997e-07
-5.127500e-01,1.057450e-07
-5.145000e-01,1.045141e-07
-5.162500e-01,1.030035e-07
-5.180000e-01,1.023321e-07
-5.197500e-01,1.011012e-07
-5.215000e-01,1.001780e-07
-5.232500e-01,9.914295e-08
-5.250000e-01,9.838763e-08
-5.267500e-01,9.718471e-08
-5.285000e-01,9.642939e-08
-5.302500e-01,9.531040e-08
-5.320000e-01,9.452710e-08
-5.337500e-01,9.352001e-08
-5.355000e-01,9.301646e-08
-5.372500e-01,9.181353e-08
-5.390000e-01,9.156177e-08
-5.407500e-01,9.066657e-08
-5.425000e-01,9.007909e-08
-5.442500e-01,8.923985e-08
-5.460000e-01,8.862440e-08
-5.477500e-01,8.795300e-08
-5.495000e-01,8.753338e-08
-5.512500e-01,8.683401e-08
-5.530000e-01,8.652628e-08
-5.547500e-01,8.554717e-08
-5.565000e-01,8.551919e-08
-5.582500e-01,8.479184e-08
-5.600000e-01,8.431627e-08
-5.617500e-01,8.372880e-08
-5.635000e-01,8.333716e-08
-5.652500e-01,8.283360e-08
-5.670000e-01,8.266576e-08
-5.687500e-01,8.216221e-08
-5.705000e-01,8.193840e-08
-5.722500e-01,8.132296e-08
-5.740000e-01,8.070752e-08
-5.757500e-01,8.042776e-08
-5.775000e-01,8.014801e-08
-5.792500e-01,7.970042e-08
-5.810000e-01,7.956054e-08
-5.827500e-01,7.914092e-08
-5.845000e-01,7.894509e-08
-5.862500e-01,7.844155e-08
-5.880000e-01,7.813382e-08
-5.897500e-01,7.765825e-08
-5.915000e-01,7.749041e-08
-5.932500e-01,7.712673e-08
-5.950000e-01,7.698686e-08
-5.967500e-01,7.676305e-08
-5.985000e-01,7.634343e-08
-6.002500e-01,7.628748e-08
-6.020000e-01,7.583989e-08
-6.037500e-01,7.547622e-08
-6.055000e-01,7.528039e-08
-6.072500e-01,7.483278e-08
-6.090000e-01,7.480482e-08
-6.107500e-01,7.446911e-08
-6.125000e-01,7.435722e-08
-6.142500e-01,7.396557e-08
-6.160000e-01,7.382570e-08
-6.177500e-01,7.343404e-08
-6.195000e-01,7.326620e-08
-6.212500e-01,7.251087e-08
-6.230000e-01,7.298645e-08
-6.247500e-01,7.256683e-08
-6.265000e-01,7.239898e-08
-6.282500e-01,7.220315e-08
-6.300000e-01,7.211923e-08
-6.317500e-01,7.169960e-08
-6.335000e-01,7.153176e-08
-6.352500e-01,7.108415e-08
-6.370000e-01,7.102820e-08
-6.387500e-01,7.088833e-08
-6.405000e-01,7.077643e-08
-6.422500e-01,7.044073e-08
-6.440000e-01,7.038479e-08
-6.457500e-01,6.996516e-08
-6.475000e-01,6.988124e-08
-6.492500e-01,6.943364e-08
-6.510000e-01,6.929376e-08
-6.527500e-01,6.915388e-08
-6.545000e-01,6.920984e-08
-6.562500e-01,6.873427e-08
-6.580000e-01,6.881819e-08
-6.597500e-01,6.853844e-08
-6.615000e-01,6.839856e-08
-6.632500e-01,6.795097e-08
-6.650000e-01,6.795097e-08
-6.667500e-01,6.755932e-08
-6.685000e-01,6.775515e-08
-6.702500e-01,6.739148e-08
-6.720000e-01,6.764324e-08
-6.737500e-01,6.719565e-08
-6.755000e-01,6.674805e-08
-6.772500e-01,6.669210e-08
-6.790000e-01,6.672008e-08
-6.807500e-01,6.638437e-08
-6.825000e-01,6.644033e-08
-6.842500e-01,6.624450e-08
