
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00295-0010-E00001.csv"
"Job ID: 295"
"Electrode Number: 1"
"Manipulator Position (mm): 30.0"
"Date/Time: 05/09/2016 14:24:02"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 25.586138 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 100 nA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)
-3.781250e-01,5.829964e-08
-3.798750e-01,5.734849e-08
-3.816250e-01,5.608962e-08
-3.833750e-01,5.673304e-08
-3.851250e-01,5.673304e-08
-3.868750e-01,5.561405e-08
-3.886250e-01,5.608962e-08
-3.903750e-01,5.340403e-08
-3.921250e-01,5.276061e-08
-3.938750e-01,5.214516e-08
-3.956250e-01,5.038275e-08
-3.973750e-01,5.111010e-08
-3.991250e-01,5.155769e-08
-4.008750e-01,5.063452e-08
-4.026250e-01,5.141782e-08
-4.043750e-01,4.931970e-08
-4.061250e-01,4.806083e-08
-4.078750e-01,4.766919e-08
-4.096250e-01,4.610259e-08
-4.113750e-01,4.629842e-08
-4.131250e-01,4.716564e-08
-4.148750e-01,4.627044e-08
-4.166250e-01,4.655019e-08
-4.183750e-01,4.576689e-08
-4.201250e-01,4.394853e-08
-4.218750e-01,4.319321e-08
-4.236250e-01,4.254978e-08
-4.252500e-01,4.182244e-08
-4.270000e-01,4.319321e-08
-4.287500e-01,4.280156e-08
-4.305000e-01,4.271763e-08
-4.322500e-01,4.240991e-08
-4.340000e-01,4.064749e-08
-4.357500e-01,3.958445e-08
-4.375000e-01,3.972432e-08
-4.392500e-01,3.852140e-08
-4.410000e-01,3.986419e-08
-4.427500e-01,3.969635e-08
-4.445000e-01,3.938862e-08
-4.462500e-01,3.997610e-08
-4.480000e-01,3.812975e-08
-4.497500e-01,3.701076e-08
-4.515000e-01,3.712266e-08
-4.532500e-01,3.538822e-08
-4.550000e-01,3.664708e-08
-4.567500e-01,3.701076e-08
-4.585000e-01,3.650721e-08
-4.602500e-01,3.743038e-08
-4.620000e-01,3.603164e-08
-4.637500e-01,3.466087e-08
-4.655000e-01,3.488467e-08
-4.672500e-01,3.359782e-08
-4.690000e-01,3.393352e-08
-4.707500e-01,3.480075e-08
-4.725000e-01,3.457694e-08
-4.742500e-01,3.468884e-08
-4.760000e-01,3.440909e-08
-4.777500e-01,3.270263e-08
-4.795000e-01,3.275858e-08
-4.812500e-01,3.203123e-08
-4.830000e-01,3.175148e-08
-4.847500e-01,3.287048e-08
-4.865000e-01,3.303833e-08
-4.882500e-01,3.275858e-08
-4.900000e-01,3.306630e-08
-4.917500e-01,3.119198e-08
-4.935000e-01,3.054856e-08
-4.952500e-01,3.074438e-08
-4.970000e-01,2.979324e-08
-4.987500e-01,3.094021e-08
-5.005000e-01,3.135984e-08
-5.022500e-01,3.085629e-08
-5.040000e-01,3.197528e-08
-5.057500e-01,2.996109e-08
-5.075000e-01,2.928969e-08
-5.092500e-01,2.920577e-08
-5.110000e-01,2.777905e-08
-5.127500e-01,2.895399e-08
-5.145000e-01,2.993312e-08
-5.162500e-01,2.956944e-08
-5.180000e-01,3.057654e-08
-5.197500e-01,2.948552e-08
-5.215000e-01,2.828260e-08
-5.232500e-01,2.817070e-08
-5.250000e-01,2.749930e-08
-5.267500e-01,2.763917e-08
-5.285000e-01,2.920577e-08
-5.302500e-01,2.861830e-08
-5.320000e-01,2.923374e-08
-5.337500e-01,2.875817e-08
-5.355000e-01,2.752728e-08
-5.372500e-01,2.685588e-08
-5.390000e-01,2.677195e-08
-5.407500e-01,2.649221e-08
-5.425000e-01,2.800285e-08
-5.442500e-01,2.825462e-08
-5.460000e-01,2.814272e-08
-5.477500e-01,2.850640e-08
-5.495000e-01,2.691183e-08
-5.512500e-01,2.643626e-08
-5.530000e-01,2.668803e-08
-5.547500e-01,2.526131e-08
-5.565000e-01,2.696778e-08
-5.582500e-01,2.730348e-08
-5.600000e-01,2.716360e-08
-5.617500e-01,2.836652e-08
-5.635000e-01,2.699575e-08
-5.652500e-01,2.582081e-08
-5.670000e-01,2.624043e-08
-5.687500e-01,2.489764e-08
-5.705000e-01,2.615651e-08
-5.722500e-01,2.685588e-08
-5.740000e-01,2.707968e-08
-5.757500e-01,2.789095e-08
-5.775000e-01,2.721955e-08
-5.792500e-01,2.573688e-08
-5.810000e-01,2.601663e-08
-5.827500e-01,2.486966e-08
-5.845000e-01,2.492561e-08
-5.862500e-01,2.601663e-08
-5.880000e-01,2.629638e-08
-5.897500e-01,2.635233e-08
-5.915000e-01,2.629638e-08
-5.932500e-01,2.481371e-08
-5.950000e-01,2.447802e-08
-5.967500e-01,2.425422e-08
-5.985000e-01,2.400244e-08
-6.002500e-01,2.526131e-08
-6.020000e-01,2.604461e-08
-6.037500e-01,2.545714e-08
-6.055000e-01,2.638031e-08
-6.072500e-01,2.489764e-08
-6.090000e-01,2.453396e-08
-6.107500e-01,2.450599e-08
-6.125000e-01,2.330307e-08
-6.142500e-01,2.470181e-08
-6.160000e-01,2.526131e-08
-6.177500e-01,2.484169e-08
-6.195000e-01,2.618448e-08
-6.212500e-01,2.450599e-08
-6.230000e-01,2.380662e-08
-6.247500e-01,2.400244e-08
-6.265000e-01,2.277155e-08
-6.282500e-01,2.366675e-08
-6.300000e-01,2.478574e-08
-6.317500e-01,2.419827e-08
-6.335000e-01,2.526131e-08
-6.352500e-01,2.450599e-08
-6.370000e-01,2.335902e-08
