
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00297-0010-E00001.csv"
"Job ID: 297"
"Electrode Number: 1"
"Manipulator Position (mm): 32.0"
"Date/Time: 05/09/2016 14:44:22"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 26.589661 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 100 nA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)

-9.987500e-02,-2.691183e-08
-1.016250e-01,-1.768012e-08
-1.033750e-01,-1.172147e-08
-1.051250e-01,-8.616261e-09
-1.068750e-01,-4.420030e-09
-1.086250e-01,-6.713970e-10
-1.103750e-01,2.797487e-09
-1.121250e-01,9.287659e-09
-1.138750e-01,1.331604e-08
-1.156250e-01,1.681290e-08
-1.173750e-01,1.994609e-08
-1.191250e-01,1.994609e-08
-1.208750e-01,2.148470e-08
-1.226250e-01,2.380662e-08
-1.243750e-01,2.495359e-08
-1.261250e-01,2.982122e-08
-1.278750e-01,3.301035e-08
-1.296250e-01,3.477277e-08
-1.313750e-01,3.785000e-08
-1.331250e-01,3.723456e-08
-1.348750e-01,3.703873e-08
-1.366250e-01,3.910887e-08
-1.383750e-01,3.812975e-08
-1.401250e-01,4.157067e-08
-1.418750e-01,4.495562e-08
-1.436250e-01,4.629842e-08
-1.453750e-01,4.943160e-08
-1.471250e-01,4.845248e-08
-1.488750e-01,4.761324e-08
-1.506250e-01,4.876021e-08
-1.523750e-01,4.822869e-08
-1.541250e-01,5.010300e-08
-1.558750e-01,5.337606e-08
-1.576250e-01,5.488670e-08
-1.593750e-01,5.662115e-08
-1.611250e-01,5.757229e-08
-1.628750e-01,5.550215e-08
-1.646250e-01,5.547417e-08
-1.663750e-01,5.580987e-08
-1.681250e-01,5.603367e-08
-1.698750e-01,5.866331e-08
-1.716250e-01,6.034180e-08
-1.733750e-01,6.028586e-08
-1.751250e-01,6.308334e-08
-1.768750e-01,6.067751e-08
-1.786250e-01,5.955851e-08
-1.803750e-01,5.983826e-08
-1.821250e-01,5.818774e-08
-1.838750e-01,6.062155e-08
-1.856250e-01,6.271967e-08
-1.873750e-01,6.269170e-08
-1.891250e-01,6.423031e-08
-1.908750e-01,6.339106e-08
-1.926250e-01,6.120902e-08
-1.943750e-01,6.084535e-08
-1.961250e-01,6.025788e-08
-1.978750e-01,5.992219e-08
-1.996250e-01,6.249587e-08
-2.013750e-01,6.299942e-08
-2.031250e-01,6.299942e-08
-2.048750e-01,6.383866e-08
-2.066250e-01,6.081738e-08
-2.083750e-01,5.975433e-08
-2.101250e-01,5.958648e-08
-2.118750e-01,5.743242e-08
-2.136250e-01,5.983826e-08
-2.153750e-01,6.062155e-08
-2.171250e-01,6.017395e-08
-2.188750e-01,6.182447e-08
-2.206250e-01,5.933471e-08
-2.223750e-01,5.704077e-08
-2.241250e-01,5.664912e-08
-2.258750e-01,5.502658e-08
-2.276250e-01,5.519443e-08
-2.293750e-01,5.690089e-08
-2.311250e-01,5.659317e-08
-2.328750e-01,5.650924e-08
-2.346250e-01,5.608962e-08
-2.363750e-01,5.290049e-08
-2.381250e-01,5.203326e-08
-2.398750e-01,5.057857e-08
-2.416250e-01,4.993515e-08
-2.433750e-01,5.138984e-08
-2.451250e-01,5.200529e-08
-2.468750e-01,5.029882e-08
-2.486250e-01,5.161364e-08
-2.503750e-01,4.828463e-08
-2.521250e-01,4.635437e-08
-2.538750e-01,4.579487e-08
-2.556250e-01,4.324916e-08
-2.573750e-01,4.481575e-08
-2.591250e-01,4.568297e-08
-2.608750e-01,4.453600e-08
-2.626250e-01,4.551512e-08
-2.643750e-01,4.322118e-08
-2.661250e-01,4.064749e-08
-2.678750e-01,4.003205e-08
-2.696250e-01,3.849343e-08
-2.713750e-01,3.804583e-08
-2.731250e-01,3.964040e-08
-2.748750e-01,3.913685e-08
-2.766250e-01,3.919280e-08
-2.783750e-01,3.849343e-08
-2.801250e-01,3.589176e-08
-2.818750e-01,3.382162e-08
-2.836250e-01,3.396149e-08
-2.853750e-01,3.203123e-08
-2.871250e-01,3.404542e-08
-2.888750e-01,3.401745e-08
-2.906250e-01,3.370972e-08
-2.923750e-01,3.452100e-08
-2.941250e-01,3.161161e-08
-2.958750e-01,3.007299e-08
-2.976250e-01,2.976527e-08
-2.993750e-01,2.777905e-08
-3.011250e-01,2.845045e-08
-3.028750e-01,2.990514e-08
-3.046250e-01,2.954147e-08
-3.063750e-01,2.987716e-08
-3.081250e-01,2.909387e-08
-3.098750e-01,2.615651e-08
-3.116250e-01,2.596068e-08
-3.133750e-01,2.514941e-08
-3.151250e-01,2.394649e-08
-3.168750e-01,2.596068e-08
-3.186250e-01,2.699575e-08
-3.203750e-01,2.615651e-08
-3.221250e-01,2.688385e-08
-3.238750e-01,2.394649e-08
-3.256250e-01,2.288345e-08
-3.273750e-01,2.268762e-08
-3.291250e-01,2.072938e-08
-3.308750e-01,2.246382e-08
-3.326250e-01,2.355484e-08
-3.343750e-01,2.285547e-08
-3.361250e-01,2.408637e-08
-3.378750e-01,2.249180e-08
-3.396250e-01,2.056153e-08
-3.413750e-01,2.036571e-08
-3.431250e-01,1.907886e-08
-3.448750e-01,1.947051e-08
-3.466250e-01,2.140078e-08
-3.483750e-01,2.134483e-08
-3.501250e-01,2.145673e-08
-3.518750e-01,2.112103e-08
-3.536250e-01,1.891101e-08
-3.553750e-01,1.773607e-08
-3.571250e-01,1.804379e-08
-3.588750e-01,1.664505e-08
-3.606250e-01,1.899494e-08
-3.623750e-01,1.933064e-08
-3.641250e-01,1.921874e-08
-3.658750e-01,2.067343e-08
-3.676250e-01,1.835152e-08
-3.693750e-01,1.619745e-08
-3.711250e-01,1.667303e-08
-3.728750e-01,1.505048e-08
-3.746250e-01,1.628138e-08
-3.763750e-01,1.790392e-08
-3.781250e-01,1.734442e-08
-3.798750e-01,1.846342e-08
-3.816250e-01,1.728847e-08
-3.833750e-01,1.513441e-08
-3.851250e-01,1.516238e-08
-3.868750e-01,1.437909e-08
-3.886250e-01,1.426719e-08
-3.903750e-01,1.566593e-08
-3.921250e-01,1.658910e-08
-3.938750e-01,1.628138e-08
-3.956250e-01,1.681290e-08
-3.973750e-01,1.423921e-08
-3.991250e-01,1.312022e-08
-4.008750e-01,1.356781e-08
-4.026250e-01,1.225300e-08
-4.043750e-01,1.393149e-08
-4.061250e-01,1.521833e-08
-4.078750e-01,1.429516e-08
-4.096250e-01,1.616948e-08
-4.113750e-01,1.409934e-08
-4.131250e-01,1.228097e-08
-4.148750e-01,1.239287e-08
-4.166250e-01,1.127387e-08
-4.183750e-01,1.188932e-08
-4.201250e-01,1.390351e-08
-4.218750e-01,1.365174e-08
-4.236250e-01,1.373566e-08
-4.252500e-01,1.387554e-08
-4.270000e-01,1.169350e-08
-4.287500e-01,1.088223e-08
-4.305000e-01,1.105008e-08
-4.322500e-01,1.007095e-08
-4.340000e-01,1.230894e-08
-4.357500e-01,1.289642e-08
